Class,Precision,Recall,F1-Score
H,0.9009884945713823,0.9698238269666841,0.9341397849462365
E,0.9213702520411785,0.9724615961034095,0.9462267590229676
C,0.9604230938739533,0.8704961252696333,0.9132511943676138
Average,0.927593946828838,0.9375938494465755,0.9312059127789393
