Class,Precision,Recall,F1-Score
H,0.8117647058823529,0.965034965034965,0.8817891373801917
E,0.9148486980999296,0.9629629629629629,0.9382894261999278
C,0.9561837455830389,0.8185117967332124,0.8820078226857888
Average,0.8942657165217739,0.9155032415770467,0.9006954620886362
