Class,Precision,Recall,F1-Score
C,0.7505634861006761,0.7374368292544432,0.7439422581199518
B,0.5386819484240688,0.49343832020997375,0.5150684931506849
E,0.8900245755138516,0.9022194541954478,0.896080526345386
G,0.6903205726735139,0.7229465449804433,0.7062569654513613
I,0.04186046511627907,0.6,0.0782608695652174
H,0.9241950251793072,0.9378266424064109,0.9309609361489537
S,0.6608139376616305,0.5941745196426386,0.6257249645572883
T,0.6884087237479806,0.6926046322633076,0.6905003038282358
Average,0.6481085918021634,0.7100808678690832,0.6483494146458849
