Class,Precision,Recall,F1-Score
H,0.8133595284872298,0.965034965034965,0.8827292110874201
E,0.9151472650771388,0.9666666666666667,0.9402017291066282
C,0.9579505300353357,0.8200241984271023,0.8836375488917861
Average,0.8954857745332347,0.9172419433762448,0.9021894963619448
