Class,Precision,Recall,F1-Score
C,0.9205784204671857,0.8895098882201203,0.9047775226850333
B,0.8035714285714286,0.7929515418502202,0.7982261640798226
E,0.9581063310163441,0.9760765550239234,0.9670079635949943
G,0.8373570520965693,0.8268506900878294,0.8320707070707071
I,0.03125,1.0,0.06060606060606061
H,0.9653312788906009,0.9573655256723717,0.9613319011815252
S,0.8324667822068169,0.8095505617977528,0.8208487610367416
T,0.861886259272342,0.8680184987548915,0.8649415101028004
Average,0.7763184440651609,0.8900404076758888,0.7762263237947107
