Class,Precision,Recall,F1-Score
C,0.9300065876152833,0.7543414373497195,0.8330137188375867
B,0.7642857142857142,0.7254237288135593,0.7443478260869565
E,0.9209936496077699,0.9777909974221694,0.9485428488987208
G,0.7125850340136054,0.8207639569049952,0.7628584433318161
I,0.7657142857142857,0.7701149425287356,0.7679083094555874
H,0.906014011463925,0.9695258494791159,0.9366945724767191
S,0.7410506741050674,0.7291857273559011,0.7350703251095227
T,0.7427930813581037,0.8151142355008787,0.7772750125691302
Average,0.8104303797704694,0.8202826094193842,0.8132138820957548
