Class,Precision,Recall,F1-Score
C,0.9290057518488085,0.7551429334758215,0.8330999926313463
B,0.7604166666666666,0.7423728813559322,0.7512864493996569
E,0.9217081850533808,0.9758080507634345,0.9479869004045464
G,0.7200689061154177,0.8188050930460333,0.766269477543538
I,0.7914110429447853,0.7413793103448276,0.7655786350148368
H,0.9052421186517671,0.9701100184986856,0.9365541874236301
S,0.7405004633920297,0.7310155535224153,0.7357274401473296
T,0.7423076923076923,0.8140597539543059,0.7765297569153394
Average,0.8138326033725685,0.818586699370182,0.8141291049350279
