Class,Precision,Recall,F1-Score
H,0.9085580304806565,0.9376404300183208,0.9228701687534023
E,0.8795314231438974,0.8863600106354693,0.882932514037504
C,0.8909243502922961,0.8641160949868074,0.8773154744941579
Average,0.8930046013056167,0.8960388452135325,0.8943727190950215
