Class,Precision,Recall,F1-Score
C,0.9246358454718177,0.7012487992315082,0.7975962851679869
B,0.6666666666666666,0.6428571428571429,0.6545454545454545
E,0.9110787172011662,0.9659969088098919,0.9377344336084021
G,0.6125,0.7241379310344828,0.6636568848758465
I,0.7560975609756098,0.8378378378378378,0.7948717948717948
H,0.8149293286219081,0.968503937007874,0.8851043415687215
S,0.7316636851520573,0.6502384737678856,0.6885521885521886
T,0.638728323699422,0.7428571428571429,0.6868686868686869
Average,0.7570375159735809,0.7792097716754707,0.7636162587573853
