Class,Precision,Recall,F1-Score
C,0.9226322810137839,0.8920894239036974,0.907103825136612
B,0.8125,0.801762114537445,0.8070953436807096
E,0.9588113597893549,0.9756937799043062,0.9671789034338835
G,0.8362944162436549,0.8268506900878294,0.8315457413249211
I,0.03225806451612903,1.0,0.0625
H,0.9652200677131425,0.9584352078239609,0.9618156724428769
S,0.8301669545192861,0.8101123595505618,0.8200170599943133
T,0.8622521246458924,0.8662397723230167,0.8642413487133984
Average,0.7775169085551554,0.8913979185163522,0.7776872368408394
