Class,Precision,Recall,F1-Score
C,0.9236067626800251,0.7084534101825168,0.8018483283500951
B,0.6666666666666666,0.6428571428571429,0.6545454545454545
E,0.9107534747622531,0.9621329211746522,0.9357384441939121
G,0.6150627615062761,0.7241379310344828,0.665158371040724
I,0.7560975609756098,0.8378378378378378,0.7948717948717948
H,0.8127753303964758,0.968503937007874,0.8838323353293414
S,0.7404718693284936,0.6486486486486487,0.6915254237288135
T,0.6451612903225806,0.7394957983193278,0.6891151135473766
Average,0.7588244645797977,0.7790084533828103,0.764579408200939
